customerid,amt_1m,amt_2m,amt_3m,cnt_1m,cnt_3m,cnt_1m,amt_com_1m,amt_com_2m,amt_com_3m,distance,buy
277,18.908,0,0,1,0,0,10.45,0,0,468.271332,0
278,46.26,115.73,0,3,6,0,28.39,45.89,0,11.020838,0
279,16.248,0,0,1,0,0,8.6,0,0,3.143558,0
280,72.952,0,0,1,0,0,25.74,0,0,308.556519,0
281,25.133,0,0,1,0,0,15.37,0,0,3.095408,0
282,11.503,0,0,1,0,0,10.25,0,0,101.940445,0
283,14.062,0,0,1,0,0,10.64,0,0,205.539795,0
284,39.639,0,0,2,0,0,27.44,0,0,94.18313013,0
285,10.571,0,0,3,0,0,17.68,0,0,2.199082,0
286,14.406,0,0,1,0,0,8.34,0,0,6.918127,0
287,12.987,0,0,1,0,0,10.61,0,0,94.18313013,0
288,35.012,0,0,1,0,0,20.76,0,0,101.950615,0
289,6.062,23.822,0,1,2,0,6.46,17.56,0,1.091968,0
290,6.062,23.822,0,1,2,0,6.46,17.56,0,1.091968,0
291,72.952,0,0,1,0,0,32,0,0,316.871857,0
292,6.146,0,0,2,0,0,11.58,0,0,11.609559,0
293,33.197,56.342,22.09,5,6,3,34.72,46.66,22.93,61.16631175,0
294,33.197,56.342,22.09,5,6,3,34.72,46.66,22.93,61.16631175,0
295,107.964,25.133,0,1,1,0,51.32,12.9,0,22.227505,1
296,112.943,15.585,94.845,8,3,8,83.52,20.26,74.99,9.16981,0
297,8.104,0,0,1,0,0,8.54,0,0,2.233029,0
298,32.505,0,0,1,0,0,12.41,0,0,11.958285,0
299,72.952,0,0,1,0,0,25.74,0,0,151.792404,0
300,11.071,0,0,1,0,0,10.05,0,0,471.100586,0
301,9.879,0,0,1,0,0,9.52,0,0,221.285965,0
302,50.266,0,0,2,0,0,25.72,0,0,317.183136,0
303,43.204,0,0,1,0,0,17.32,0,0,2.165537,0
304,36.02,0,0,1,0,0,15.29,0,0,23.058058,0
305,17.3,0,0,2,0,0,15.54,0,0,7.981808,0
306,72.952,0,0,1,0,0,21.5,0,0,38.328266,0
307,16.118,0,0,1,0,0,10.88,0,0,8.968045,0
308,72.952,0,0,1,0,0,27.63,0,0,56.104069,0
309,16.045,0,0,1,0,0,9.64,0,0,138.958557,0
310,6.062,105.907,0,1,4,0,7.58,48.81,0,156.173843,0
311,6.062,105.907,0,1,4,0,7.58,48.81,0,156.173843,0
312,40.303,0,0,1,0,0,20.14,0,0,8.138452,0
313,25.133,0,0,2,0,0,17.31,0,0,9.718554,0
314,19.25,7.696,0,4,1,0,25.96,8.2,0,38.115101,0
315,72.952,0,0,1,0,0,35.66,0,0,61.36483,0
316,25.133,0,0,1,0,0,12.21,0,0,94.18313013,0
317,59.965,0,0,1,0,0,29.82,0,0,9.219699,0
318,98.014,0,0,2,0,0,40.46,0,0,57.900677,0
319,13.764,41.799,0,2,2,0,16.04,19.6,0,3.719746,0
320,18.989,0,0,1,0,0,12.19,0,0,12.10966,0
321,61.457,203.823,127.357,3,9,7,27.88,96.38,68.02,9.194779,0
322,67.748,18.962,0,1,2,0,20.33,14.6,0,34.43108,0
323,50.266,0,0,2,0,0,25.72,0,0,94.18313013,0
324,9.879,0,0,1,0,0,7.89,0,0,0.709124,0
325,36.02,0,0,1,0,0,16.22,0,0,137.91478,0
326,32.736,0,0,1,0,0,15.21,0,0,16.475174,0
327,19.378,13.198,0,1,1,0,12.07,9.18,0,0.90803,0
328,19.378,13.198,0,1,1,0,12.07,9.18,0,0.90803,0
329,3.073,0,0,1,0,0,5.79,0,0,462.587463,0
330,32.736,17.3,47.825,1,1,2,17.32,11.9,33.75,32.783012,0
331,5.722,0,0,2,0,0,12.48,0,0,7.648476,0
332,5.722,0,0,2,0,0,12.48,0,0,7.648476,0
333,23.523,0,0,1,0,0,15.62,0,0,4.866747,0
334,34.98,0,0,2,0,0,18.42,0,0,20.719505,0
335,21.733,0,0,2,0,0,17.16,0,0,14.075787,0
336,65.098,0,0,1,0,0,19.73,0,0,320.098572,0
337,6.062,0,0,1,0,0,6.46,0,0,2.811634,0
338,51.514,0,0,1,0,0,16.68,0,0,288.410492,0
339,72.952,0,0,1,0,0,27.63,0,0,1242.890259,0
340,30.775,0,0,2,0,0,22.3,0,0,476.154083,0
341,8.326,0,0,2,0,0,12.55,0,0,10.51905033,0
342,18.908,0,0,1,0,0,11.9,0,0,13.139999,0
343,47.89,0,0,2,0,0,22.35,0,0,78.197128,0
344,32.736,0,0,1,0,0,12.46,0,0,39.787292,0
345,30.178,49.513,168.038,2,3,2,18.74,29.81,78.32,23.7152,0
346,15.089,0,0,1,0,0,10.73,0,0,8.741241,0
347,11.268,0,0,1,0,0,9.15,0,0,2017.630127,0
348,80.432,0,0,3,0,0,36.66,0,0,198.473969,0
349,89.212,0,0,6,0,0,41.87,0,0,1.89713,0
350,35.012,0,0,1,0,0,15.91,0,0,471.645935,0
351,3.381,320.33,0,1,13,0,6.14,160.78,0,12.495693,0
352,3.381,320.33,0,1,13,0,6.14,160.78,0,12.495693,0
353,4.008,0,0,1,0,0,6,0,0,7.582673,0
354,25.133,25.133,0,1,1,0,12.21,10.75,0,11.778477,0
355,25.133,25.133,0,1,1,0,12.21,10.75,0,11.778477,0
356,56.259,0,0,1,0,0,26,0,0,120.037689,0
357,135.496,0,0,2,0,0,58.11,0,0,67.221596,0
358,135.496,0,0,2,0,0,58.11,0,0,67.221596,0
359,82.831,0,0,2,0,0,33.64,0,0,6.058919,0
360,24.517,3.381,0,1,1,0,10.61,6.53,0,1073.213623,0
361,24.517,3.381,0,1,1,0,10.61,6.53,0,1073.213623,0
362,6.296,0,0,1,0,0,6.88,0,0,4.611701,1
363,24.517,0,0,1,0,0,14.25,0,0,11.580273,0
364,42.615,0,0,1,0,0,21,0,0,320.352814,0
365,145.904,0,0,2,0,0,73.4,0,0,94.44865485,1
366,59.965,0,0,1,0,0,22.06,0,0,38.51950908,0
367,2.917,0,0,1,0,0,5.93,0,0,1.506866,0
368,7.696,0,0,1,0,0,8.36,0,0,74.995033,0
369,215.928,0,0,3,0,0,101.27,0,0,540.802185,1
370,55.539,0,0,3,0,0,39.08,0,0,7.366808,0
371,75.026,0,0,2,0,0,41.66,0,0,7.655481,0
372,75.026,0,0,2,0,0,41.66,0,0,7.655481,0
373,114.383,101.826,0,2,3,0,45.52,54.05,0,50.755932,0
374,15.224,0,0,1,0,0,9.8,0,0,39.63880708,0
375,72.952,0,0,1,0,0,25.74,0,0,554.87561,0
376,40.216,0,0,1,0,0,20.11,0,0,94.18313013,0
377,72.952,0,0,1,0,0,37.74,0,0,94.18313013,0
378,84.019,0,0,1,0,0,41.54,0,0,32.404068,0
379,6.902,29.554,0,1,1,0,8.19,14.23,0,15.970338,0
380,6.902,29.554,0,1,1,0,8.19,14.23,0,15.970338,0
381,26.754,0,0,1,0,0,13.36,0,0,208.988571,0
382,10.086,0,0,1,0,0,7.37,0,0,8.005156,0
383,88.864,0,0,4,0,0,59.12,0,0,34.83596,1
384,25.133,0,0,1,0,0,16.34,0,0,680.279602,0
385,115.362,42.186,58.186,5,3,5,64.79,28.32,49.5,1.984385,1
386,145.904,0,0,2,0,0,53.37,0,0,94.18313013,0
387,25.133,0,0,1,0,0,10.75,0,0,94.18313013,0
388,28.481,0,0,2,0,0,19.49,0,0,94.18313013,0
389,25.133,0,0,1,0,0,10.75,0,0,288.267975,0
390,49.007,0,0,2,0,0,24.06,0,0,80.654137,0
391,28.197,0,0,2,0,0,22.46,0,0,9.383255,0
392,8.246,0,0,1,0,0,6.95,0,0,62.156414,0
393,4.366,61.42,34.194,1,6,3,6.95,29.68,14.06,7.074311,0
394,4.366,61.42,34.194,1,6,3,6.95,29.68,14.06,7.074311,0
395,147.859,41.404,0,6,2,0,81.86,25.57,0,41.791077,1
396,12.516,0,0,1,0,0,8.96,0,0,57.639671,0
397,107.964,0,0,1,0,0,35.64,0,0,448.763336,0
398,27.995,0,0,2,0,0,20.38,0,0,80.029427,0
399,11.071,0,0,1,0,0,9.23,0,0,4.938458,0
400,11.339,0,0,1,0,0,8.6,0,0,0.747047,0
401,25.133,0,0,1,0,0,16.34,0,0,113.562103,0
402,26.754,0,0,1,0,0,16.45,0,0,1.902174,0
403,19.199,0,0,1,0,0,13.69,0,0,18.721533,0
404,6.146,0,0,2,0,0,11.58,0,0,15.83737,0
405,6.146,0,0,2,0,0,11.58,0,0,15.83737,0
406,7.252,0,0,1,0,0,6.73,0,0,51.343777,0
407,9.879,0,0,1,0,0,7.32,0,0,8.912547,0
408,8.246,0,0,1,0,0,7.65,0,0,1.649974,0
409,19.749,0,0,1,0,0,9.54,0,0,5.503329,0
410,95.998,0,0,2,0,0,37.36,0,0,14.407577,0
411,7.252,0,0,1,0,0,7.34,0,0,7.814062,0
412,66.628,1334.275,1031.692,2,52,40,26.41,521.54,436.07,13.795588,0
413,32.947,0,0,1,0,0,12.51,0,0,52.100147,1
414,25.133,0,0,1,0,0,12.21,0,0,94.18313013,0
